TierType,TierName,Label,Start,Mid,End,Duration
IntervalTier,words,,311334,313170,315007,3673
IntervalTier,words,Diamond,315007,315455,315903,896
IntervalTier,words,,315903,317384,318866,2963
IntervalTier,words,Dog,318866,319220,319574,708
IntervalTier,words,,319574,320702,321831,2257
IntervalTier,words,Great,321831,322166,322502,671
IntervalTier,words,,322502,324181,325860,3358
IntervalTier,words,Today,325860,326242,326624,764
IntervalTier,words,,326624,327472,328321,1697
IntervalTier,words,Yesterday,328321,328920,329519,1198
IntervalTier,words,,329519,331459,333399,3880
IntervalTier,words,Yes,333399,333706,334014,615
IntervalTier,words,,334014,335487,336961,2947
IntervalTier,words,Sir,336961,337408,337856,895
IntervalTier,words,,337856,341777,345698,7842
IntervalTier,words,Rat,345698,345996,346295,597
IntervalTier,words,,346295,348635,350976,4681
IntervalTier,words,Table,350976,351349,351722,746
IntervalTier,words,,351722,353335,354948,3226
IntervalTier,words,Eating,354948,355359,355771,823
IntervalTier,words,,355771,358512,361253,5482
IntervalTier,words,Gorilla,361253,361598,361943,690
IntervalTier,words,,361943,363508,365074,3131
IntervalTier,words,Alphabet,365074,365540,366006,932
IntervalTier,words,,366006,368309,370613,4607
IntervalTier,words,Tomorrow,370613,371125,371638,1025
IntervalTier,words,,371638,372647,373657,2019
IntervalTier,words,We,373657,374030,374403,746
IntervalTier,words,,374403,375951,377499,3096
IntervalTier,words,Earth,377499,377741,377984,485
IntervalTier,words,,377984,379019,380054,2070
IntervalTier,words,Horses,380054,380473,380893,839
IntervalTier,words,,380893,384150,387407,6514
IntervalTier,words,Snow,387407,387836,388265,858
IntervalTier,words,,388265,390866,393468,5203
IntervalTier,words,World,393468,393841,394214,746
IntervalTier,words,,394214,396811,399409,5195
IntervalTier,words,Dangerous,399409,399866,400323,914
IntervalTier,words,,400323,403624,406925,6602
IntervalTier,words,Spider,406925,407418,407912,987
IntervalTier,words,,407912,410252,412593,4681
IntervalTier,words,Really,412593,413078,413563,970
IntervalTier,words,,413563,414328,415094,1531
IntervalTier,words,Yesterday,415094,415718,416343,1249
IntervalTier,words,,416343,417751,419159,2816
IntervalTier,words,Yes,419159,419429,419700,541
IntervalTier,words,,419700,420727,421754,2054
IntervalTier,words,So,421754,422239,422724,970
IntervalTier,words,,422724,425404,428084,5360
IntervalTier,words,Obvious,428084,428569,429054,970
IntervalTier,words,,429054,431854,434655,5601
IntervalTier,words,Spectrum,434655,435251,435848,1193
IntervalTier,words,,435848,437806,439765,3917
IntervalTier,words,Men,439765,440091,440417,652
IntervalTier,words,,440417,443201,445986,5569
IntervalTier,words,Never,445986,446555,447124,1138
IntervalTier,words,,447124,448233,449343,2219
IntervalTier,words,Rat,449343,449744,450145,802
IntervalTier,words,,450145,451306,452468,2323
IntervalTier,words,Table,452468,452841,453214,746
IntervalTier,words,,453214,454752,456291,3077
IntervalTier,words,Enjoyable,456291,456916,457541,1250
IntervalTier,words,,457541,460237,462933,5392
IntervalTier,words,Everything,462933,463641,464350,1417
IntervalTier,words,,464350,466616,468883,4533
IntervalTier,words,Getting,468883,469396,469909,1026
IntervalTier,words,,469909,472510,475112,5203
IntervalTier,words,Great,475112,475373,475634,522
IntervalTier,words,,475634,477868,480102,4468
IntervalTier,words,To,480102,480419,480737,635
IntervalTier,words,,480737,483058,485380,4643
IntervalTier,words,Oranges,485380,485846,486312,932
IntervalTier,words,,486312,487554,488797,2485
IntervalTier,words,Snake,488797,489058,489319,522
IntervalTier,words,,489319,491659,494000,4681
IntervalTier,words,effort,494000,494361,494723,723
IntervalTier,words,,494723,496221,497720,2997
IntervalTier,words,today,497720,498065,498410,690
IntervalTier,words,,498410,500807,503205,4795
